Walmart
Cognizant Technology Solutions
MGM Resorts International
W.W. Grainger
Group 1 Automotive
BB&T Corp.
Rock-Tenn
Advance Auto Parts
Ally Financial
AGCO
Corning
Biogen
NGL Energy Partners
Stryker
Molina Healthcare
Precision Castparts
Discover Financial Services
Eastman Chemical
Dean Foods
AutoZone
MasterCard
Owens & Minor
Hormel Foods
GameStop
Autoliv
CenterPoint Energy
Fidelity National Financial
Sonic Automotive
HD Supply Holdings
Charter Communications
Crown Holdings
Applied Materials
Mosaic
CBRE Group
Avon Products
Republic Services
Universal Health Services
Steel Dynamics
Caesars Entertainment
Targa Resources
Dollar Tree
News Corp.
Ball
Masco
Franklin Resources
Avis Budget Group
Reynolds American
Becton Dickinson
Priceline Group
Broadcom
Tenneco
Campbell Soup
AECOM
Visteon
Delek US Holdings
Dover
BorgWarner
Jarden
UGI
Murphy Oil
PVH
Calpine
D.R. Horton
Weyerhaeuser
KKR
FMC Technologies
SpartanNash
WESCO International
Quanta Services
Mohawk Industries
Motorola Solutions
Lennar
TravelCenters of America
Sealed Air
Eversource Energy
Celgene
Williams
Ashland
Interpublic Group
Blackstone Group
Ralph Lauren
Quest Diagnostics
Hershey
Terex
Boston Scientific
Newmont Mining
Allergan
Casey's General Stores
CMS Energy
Foot Locker
W.R. Berkley
PetSmart
Pacific Life
Commercial Metals
Agilent Technologies
Huntington Ingalls Industries
Mutual of Omaha Insurance
Live Nation Entertainment
Dick's Sporting Goods
Oshkosh
Celanese
United Natural Foods
Peabody Energy
Owens-Illinois
Dillard's
Level 3 Communications
Pantry
LKQ
Symantec
Buckeye Partners
Ryder System
SanDisk
Rockwell Automation
Dana Holding
Lansing Trade Group
NCR
Expeditors International of Washington
Omnicare
Seaboard
NiSource
Cablevision Systems
Anixter International
EMCOR Group
Barnes & Noble
KBR
Auto-Owners Insurance
Jones Financial
Avery Dennison
NetApp
iHeartMedia
Discovery Communications
Harley-Davidson
Sanmina
Trinity Industries
J.B. Hunt Transport Services
Charles Schwab
Erie Insurance Group
Dr Pepper Snapple Group
Ameren
Mattel
Gannett
Starwood Hotels & Resorts
General Cable
A-Mark Precious Metals
Graybar Electric
Energy Future Holdings
HRG Group
MRC Global
Spectra Energy
Asbury Automotive Group
PulteGroup
JetBlue Airways
Newell Rubbermaid
Con-way
Calumet Specialty Products Partners
Expedia
American Financial Group
Tractor Supply
United Rentals
Ingredion
Navient
MeadWestvaco
AGL Resources
St. Jude Medical
J.M. Smucker
Western Union
Clorox
Domtar
Kelly Services
Advanced Micro Devices
Netflix
Jones Lang LaSalle
CH2M Hill
Western & Southern Financial Group
Lithia Motors
salesforce.com
Alaska Air Group
Host Hotels & Resorts
Amphenol
Realogy Holdings
Essendant
Hanesbrands
Kindred Healthcare
ARRIS Group
Insight Enterprises
LifePoint Health
Pioneer Natural Resources
Wyndham Worldwide
Owens Corning
Alleghany
McGraw Hill
Big Lots
Northern Tier Energy
Hexion
Markel
Noble Energy
Rockwell Collins
Airgas
Sprague Resources
YRC Worldwide
Hanover Insurance Group
Fiserv
Lorillard
ABM Industries
Sonoco Products
Harris
Telephone & Data Systems
Wisconsin Energy
Linn Energy
Raymond James Financial
Regency Energy Partners
SCANA
Cincinnati Financial
Atmos Energy
Pepco Holdings
Flowserve
Simon Property Group
Constellation Brands
Quad/Graphics
Burlington Stores
Neiman Marcus Group
Bemis
Coach
Continental Resources
Ascena Retail Group
Zoetis
Orbital ATK
Frontier Communications
Levi Strauss
SPX
M&T Bank Corp.
Rush Enterprises
Aleris
Keurig Green Mountain
Superior Energy Services
Williams-Sonoma
Nvidia
First American Financial
Zimmer Holdings
MDU Resources Group
Juniper Networks
Arthur J. Gallagher
Colfax
Cliffs Natural Resources
Yahoo
MasTec
Lam Research
Axiall
Intercontinental Exchange
Cintas
Coty
CA
Andersons
Valspar
Northern Trust
Intuit
Tutor Perini
Polaris Industries
Hospira
FM Global
NVR
Liberty Media
Energizer Holdings
Bloomin' Brands
Avaya
Westlake Chemical
Hyatt Hotels
Mead Johnson Nutrition
Activision Blizzard
Protective Life
Fortune Brands Home & Security
RPM International
VWR
KeyCorp
Swift Transportation
Alpha Natural Resources
Hasbro
Resolute Forest Products
Tiffany
McCormick
Graphic Packaging Holding
Greif
Allegheny Technologies
Securian Financial Group
B/E Aerospace
Exelis
Molson Coors Brewing
Roundy's
CNO Financial Group
Adams Resources & Energy
Belk
Chipotle Mexican Grill
American Tower
FMC
Hillshire Brands
AmTrust Financial Services
Brunswick
Patterson
Southwestern Energy
Ametek
T. Rowe Price
Torchmark
Darling Ingredients
Leggett & Platt
Watsco
Xylem
Silgan Holdings
Toll Brothers
Manitowoc
Science Applications International
Carlyle Group
Timken
Genesis Energy
WPX Energy
CareFusion
Pitney Bowes
Ingles Markets
PolyOne
Brookdale Senior Living
Meritor
Joy Global
Unified Grocers
Triumph Group
Magellan Health
Flowers Foods
Abercrombie & Fitch
New Jersey Resources
Fastenal
NII Holdings
Consol Energy
USG
Brink's
Helmerich & Payne
Lexmark International
American Axle & Manufacturing
Targa Energy
Oceaneering International
Cabot
CIT Group
Cabela's
Forest Laboratories
QEP Resources
Thor Industries
HSN
Graham Holdings
Electronic Arts
Boise Cascade
Hub Group
CACI International
Roper Technologies
Towers Watson
Smart & Final Stores
Big Heart Pet Brands
Fossil Group
Country Financial
Snap-on
Pinnacle West Capital
EchoStar
Systemax
WhiteWave Foods
CUNA Mutual Group
Cooper Tire & Rubber
ADT
Cerner
Clean Harbors
First Solar
Lennox International
Enable Midstream Partners
Hubbell
Unisys
Alliant Energy
Health Care REIT
Moody's
C.R. Bard
Urban Outfitters
Church & Dwight
American Eagle Outfitters
Regal Beloit
Men's Wearhouse
W.R. Grace
Ulta Salon Cosmetics & Fragrance
Hawaiian Electric Industries
SkyWest
Green Plains
NBTY
Carlisle
United Refining
Tesla Motors
Groupon
EP Energy
ON Semiconductor
Rent-A-Center
Citrix Systems
Amkor Technology
Worthington Industries
Valmont Industries
Iron Mountain
Puget Energy
CME Group
IAC/InterActiveCorp
Par Petroleum
Chiquita Brands International
International Flavors & Fragrances
Whiting Petroleum
Under Armour
Ventas
NuStar Energy
Select Medical Holdings
Diebold
American National Insurance
Varian Medical Systems
Apollo Education Group
SunPower
Warner Music Group
American Water Works
H&R Block
Mercury General
TECO Energy
Service Corp. International
Vulcan Materials
Brown-Forman
Regal Entertainment Group
Tempur Sealy International
Steelcase
RadioShack
Sprouts Farmers Market
Sabre
Martin Marietta Materials
Huntington Bancshares
Alere
TreeHouse Foods
Arch Coal
KLA-Tencor
Crane
Iasis Healthcare
Babcock & Wilcox
Dentsply International
Tribune Media
ScanSource
Univision Communications
Brinker International
Carter's
Analog Devices
Genesco
Scotts Miracle-Gro
Convergys
Exide Technologies
WABCO Holdings
Kennametal
Amerco
Bon-Ton Stores
Regeneron Pharmaceuticals
West
Benchmark Electronics
Pall
Old Dominion Freight Line
Sigma-Aldrich
Weis Markets
Sanderson Farms
Wolverine World Wide
DST Systems
Legg Mason
Teradata
Aaron's
Antero Resources
Range Resources
Vornado Realty Trust
Boyd Gaming
Covance
Armstrong World Industries
Cracker Barrel Old Country Store
Chico's FAS
Scripps Networks Interactive
Universal Forest Products
ITT
HCC Insurance Holdings
Moog
Comerica
Equity Residential
Ryland Group
ArcBest
Vectren
Curtiss-Wright
Tupperware Brands
Westar Energy
Albemarle
AptarGroup
Pinnacle Foods
Penn National Gaming
Vantiv
Kansas City Southern
Caleres
Nu Skin Enterprises
Great Plains Energy
Kirby
General Growth Properties
Broadridge Financial Solutions
Stericycle
Global Payments
Nortek
Schnitzer Steel Industries
Universal
ANN
Hologic
Panera Bread
AOL
SM Energy
Paychex
PriceSmart
Autodesk
Affiliated Managers Group
Tops Holding
Dynegy
DSW
Vishay Intertechnology
Mettler-Toledo International
SunEdison
Tetra Tech
Momentive Performance Materials
EnerSys
Donaldson
EQT
Monster Beverage
PC Connection
Total System Services
Applied Industrial Technologies
Maxim Integrated Products
OGE Energy
A. Schulman
Equinix
Mednax
Equifax
Standard Pacific
Denbury Resources
Cimarex Energy
Guess
Post Holdings
HealthSouth
KB Home
Boston Properties
Teledyne Technologies
Acuity Brands
Skechers U.S.A.
Xilinx
Plexus
Newfield Exploration
TransDigm Group
Kar Auction Services
Mueller Industries
Insperity
XPO Logistics
Sears Hometown & Outlet Stores
A.O. Smith
Alliance One International
Take-Two Interactive Software
hhgregg
RPC
NewMarket
Beacon Roofing Supply
Edwards Lifesciences
Triple-S Management
Heartland Payment Systems
Belden
Magellan Midstream Partners
Outerwall
KapStone Paper & Packaging
Alliance Holdings
Skyworks Solutions
Ciena
Granite Construction
Education Management
Party City Holdings
HCP
Pinnacle Entertainment
Stifel Financial
Pool
Olin
Knights of Columbus
PerkinElmer
Alexion Pharmaceuticals
IHS
Oil States International
HNI
LinkedIn
Diplomat Pharmacy
Brocade Communications Systems
AMC Networks
Kemper
Ocwen Financial
Public Storage
Chemtura
Tower International
Meritage Homes
MarkWest Energy Partners
Bio-Rad Laboratories
TrueBlue
Cabot Oil & Gas
Carpenter Technology
Toro
Express
Eastman Kodak
Hain Celestial Group
IDEX
Popular
Werner Enterprises
Esterline Technologies
Intuitive Surgical
SemGroup
Southwest Gas
G-III Apparel Group
National Fuel Gas
H.B. Fuller
RCS Capital
Columbia Sportswear
Amica Mutual Insurance
Primoris Services
Energen
Rexnord
Seventy Seven Energy
Waste Connections
Harsco
Wendy's
International Game Technology
Synopsys
Universal American
AAR
Gartner
